词根词缀,含义,示例
fract,【词根】损坏；破裂,fraction(n.小部分；片断；分数)
frag,"词根：表示“打碎”""",fragile(adj.  易碎的; 脆的)
frai,"词根：表示“打碎”""",frail(adj. 脆弱的；虚弱的)
fram,"词根：形成,结构；确定，真实",frame(n. 框架；结构；[电影] 画面)
franc,/ frANk/  n.法郎【词根】自由的；免费的,franco（adj. [交] 运费准免的；免费的）
franch,词根：公民权,franchise(. 特权；公民权；经销权；管辖权)
frang,"词根：表示“打碎”""",frangible(adj. 脆弱的；易碎的)
frater,n.兄弟，会友【词根】兄弟,fraternal(adj. 兄弟般的；友好的)
fratern,词根：brother（兄弟）,fraternity（n. 友爱；兄弟会；互助会；大学生联谊会）
fratr,词根：brother兄弟,fratricide(n. 杀害兄弟者；杀兄弟的行为)
fresc,词根：新鲜 fresh,fresco（n.壁画（指画在墙上的画鲜艳））
fri,词根：爱，友爱，自由,friend（n. 朋友；助手；赞助者）
fric,词根：摩擦,friction(n. 摩擦，[力] 摩擦力)
frig,n.冰箱【词根】冷,frigid(adj. 寒冷的，严寒的；冷淡的)
friger,"词根：表示“冷”""","refrigerator(n.  冰箱, 雪柜; 冷冻库; 冷藏室)"
front, n.& a.前面(的)；前部(的)【词根】脸；额头,confront(vt. 面对；遭遇；比较)
fros,"adv.  向那边, 向后【词根】冻结",frost(n. 霜；冰冻，严寒；冷淡)
fruct,词根：果,fructify(vi. 结果实；有成果)
frug,"词根：fruit果实,水果",frugivorous(adj. 以果实为食的，[动] 常食果实的)
fu,词根：存在，生长，居住,future(n. 未来；前途；期货；将来时)
fud,词根：流，逃，消失,fudge(vi. 逃避责任；欺骗；蒙混)
fug,n. 闷浊空气vi. 呆在闷室中【词根】逃跑；逃走,refugee(n.难民，流亡者)
fuge,词根：逃走,refuge(n. 避难；避难所；庇护（re回+fuge→逃回去的[地方]→避难所）)
ful,"【后缀】名词后缀,形容词后缀",handful(n. 少数；一把；棘手事)
fulg,词根：shine（发光）,effulgence（n. 灿烂；光辉）
fulm,词根：逃跑,fulminant（adj. 暴发的；轰响的；突然闪亮的）
fulmin,词根：thunder（雷声）,fulminate（vi. 爆炸；电闪；怒喝）
fum,【词根】烟,fume(vi. 冒烟；发怒)
fun,"/ fQn/ n. 乐趣, 玩笑, 娱乐【词根】烟;绳索",funnel(n. 漏斗；烟囱)
funct,【词根】做，履行，完成,function(n.功能；职务；函数)
fund,/ fQnd/  n.资金；基金；存款【词根】基础；底部；流,fundamental(adj. 基本的，根本的)
fung,词根：功用,fungible（adj. 代替的；可取代的）
fur,/ fE:/  n.毛皮；毛；软毛【词根】wild狂野的,furious(adj. 激烈的；狂怒的；热烈兴奋的；喧闹的)
furc,词根：fork（分叉）,bifurcate（adj. 分叉的）
furt,词根：steal（偷）,furtive（adj. 鬼鬼祟祟的，秘密的）
fus,【词根】灌，流，倾，泄,confuse(vt.使混乱，混淆（con共同+fuse→流到一起→混合，混乱）)
fusc,词根：dark（黑的）,obfuscate（vt. 使模糊；使迷乱；弄暗）
fuse,"/ fju:z/n.保险丝, 熔丝【词根】注入；倒入",confuse(vt.使混乱，混淆（con共同+fuse→流到一起→混合，混乱）)
fut,【词根】注入；倒入,refute(vt.驳斥，反驳，驳倒)
fy,【后缀】表示“做成”、“使…化”,beautify(vi. 美化)
gain,/ gein/n. 增加；利润；收获【词根】against（反对）,gainsay（vt. 反驳；否定）
gal,n. 加仑（重力加速度单位）；姑娘【词根】呼啸；唱,gale（n. [气象] 大风，狂风；（突发的）一阵）
galact,词根：乳,galactin(n. 泌乳激素；促乳激素（等于prolactin）)
galax,词根：milk（乳）,galaxy （n. 银河；[天] 星系；银河系；一群显赫的人）
gam,"/ gAm/ n. 鲸鱼群, 社交, 腿vt. 社交【词根】婚姻",bigamy(n. 重婚罪，重婚)
gamb,词根：腿;走;跳,gambade（n. 恶作剧；马的跳跃；乱跳（等于gambado））
gamos,词根：婚姻,monogamy（n. 一夫一妻制；[动] 单配偶，[动] 单配性）
gamy,"/ 'geimi/ a. 勇敢的, 猎物多的【词根】婚姻",bigamy(n. 重婚罪，重婚)
gar,"词根：装饰,注意，保护;叫，关心",garment(n.衣服；服装，衣着（gar+ment表名词→装饰的东西→衣服）)
gard,"词根：抓,围,圈",garden(n. 花园；菜园)
garn,词根：表示“装饰，供应”,"garnish(n.  装饰, 装饰品)"
garr,词根：chatter（唠叨）,garrulous （adj. 唠叨的；喋喋不休的；多嘴的）
gas,/ gAs/  n.气体。词根：打呵欠，裂开,gasp(vi. 喘气；喘息；渴望)
gastr,【词根】胃；腹部,gastric(adj. 胃的；胃部的)
gastro,【词根】胃；腹部,gastropod(n. [无脊椎] 腹足类动物)
gath,词根：联合，加入，合适,gather(vi. 聚集；化脓；皱起)
ge,前缀：地球 ,geoanticline(n.【地质学】地背斜)
gemin,词根：成对, gemination（n. 成双；并生；重复）
gemm,词根：芽,gemma（n. [生物] 芽，[植] 胞芽）
gen,"/ dVen/ n. 消息, 真相, 情报【词根】生产；种族",generate(vt.发生，产生；生成)
gener,【词根】生产；种族,generous(a.慷慨的；宽厚的（gener+ous→[不断]产生→丰富的，慷慨的）)
genit,"词根：表示“出生，产生”""",genitals(n.  生殖器)
gent,n. 绅士；假绅士；男子【词根】温和；生产；种族,gentle(adj. 温和的；文雅的)
genu,/ 'dVenju:/ n. 膝【医】 膝【词根】生产；种族,genuine(a.真的；真正的（genu+ine→产生→来源清楚→真正的）)
geo,【词根】土地，地球,geometrical(a.几何学的)
ger,【词根】携带；运送,exaggerate(vt.&vi.夸大，夸张)
germ,"n. 萌芽；细菌【词根】要害部位；出生,产生,种族",germane(adj. 有密切关系的；贴切的；恰当的
geronto,词根：老,gerontocracy（n. 老人政治；老人政府）
gest,"/ dVest/ n. 诗体小说, 昌险行为【词根】携带；运送",gesture(n.姿势，手势；姿态（gest+ure→带来信息的动作→手势）)
get,/ get/vt.到达。词根：抓，取，拿,forget(vt. 忘记；忽略)
geth,词根：联合，加入，合适,together(adv. 一起；同时；相互；连续地)
ghast,词根：惊恐,aghast(adj. 吓呆的，惊骇的；吃惊的)
ghbour,【词根】百姓,neighbour(n.邻居，邻国，邻人（nei(near) + ghbour百姓)）
giga,n.十亿，千兆【词根】十亿,gigabyte(n. 十亿字节；十亿位组)
gigant,词根：巨大,gigantic(adj. 巨大的，庞大的)
gin,"/ dVin/n.陷阱, 起重装【词根】生产，产生，种类",original(a.最初的；新颖的（ori开始+gin产生+al)
gister,"词根：表示“带来，产生”""","register(v.  登记, 申报, 注册; 记录)"
giv,词根：给，接受，有,give(vt. 给；产生；让步；举办；授予)
gl,词根：黄色，发光；粘，连，球，块，抓,glue(vt. 粘合；似胶般固着于)
gla,词根：黄色，发光,glass(n. 玻璃；玻璃制品；镜子)
glac,词根：表示“冰”,glacier(n.冰河)
glaci,词根：冰,glacier(n. 冰河，冰川)
gladi,词根：剑,gladiator(n. 斗剑者；古罗马公开表演的格斗者；争论者)
glo,"词根：块, 团",conglomerate(vi. 凝聚成团)
glob,n.  水珠; 东西【词根】球,globe(n.地球，世界；地界仪)
glomer,"【词根】聚集,球",glomerule(n. 团伞花序；丝球体（等于glomerulus）)
glor,"词根：荣誉,光荣",glorious(adj. 光荣的；辉煌的；极好的)
gloss,"n.  光泽, 色泽【词根】表示'舌头'，引申为'词语'",glossary(n. 术语（特殊用语）表；词汇表；专业词典
glot,词根：表示“舌头”，引申为“词语”,polyglot(n.  精通数国语言的人; 数种文字的对照本)
glu,"词根：结块, 结合, 粘合",agglutinate(vi. 粘合；成胶状)
gluc,词根：甜、甜的,glucose(n. 葡萄糖；葡糖（等于dextrose）)
glyc,词根：甜、甜的,glycerine(n. 丙三醇，[有化] 甘油)
gn,"【词根】出生,知道","ignorant（adj.  无知识的, 幼稚的, 不知道的）"
gnant,词根：出生,pregnant(adj. 怀孕的；富有意义的)
gnath,词根：颌；下巴,gnathic(adj. 颚的；颌的（等于gnathal）)
gni,词根：知道,cognition（n. 认识；知识；认识能力）
gno,词根：知道,agnostic（n. 不可知论者）
gnor,词根：知道,"ignore(v.  不顾, 不理会; 驳回; 忽视)"
gnos,词根：知道,"prognosis(n.  预知, 预后, 预测)"
god,/ gRd/n.神。词根：召唤,goddam（adj.（受）诅咒的，讨厌的）
gog,词根：引导,pedagogy(n.教育学，教学法(ped儿童+agog引导+y名词后缀))
gol,词根：黄色，发光,"golden（adj.  金的, 可贵的, 含金的）"
gon,【词根】角,trigon（n.  三角形; 三宫之一组; 三角琴）
gor,"词根：收集,集合",category(n. 种类，分类；[数] 范畴)
gorg,【词根】喉咙,"gorge（n.  峡谷, 咽喉, 饱食）"
gos,词根：召唤,"gossip（n.  闲话, 聊天; 社会新闻）"
gr,词根：生长，增加,grow(vi. 发展；生长；渐渐变得…)
gra,【词根】喜爱，感激，称赞,graceful(a.优美的，优雅的)
grac,"词根：愉快,取悦",grace（n. 优雅；恩惠；魅力；慈悲）
grad,n.毕业生，校友【词根】步，走，级,"gradual（adj.  逐渐的, 徐徐的, 渐增的）"
graf,"词根：写, 画",graph(n. 图表；曲线图)
gram,/ grAm/n. 绿豆； 鹰嘴豆；【词根】写,telegram(n.电报)
gran,词根：表示“颗粒”,"granule(n.  小粒, 颗粒, 细粒)"
grand,"/ grAnd/a.豪华的；庄重的【词根】大,宏大,高",grandeur（n.  庄严; 伟大）
graph,/ grAf/  n.(曲线)图，图表【词根】写，图,photography(n.摄影术)
grapher,后缀:表示“画(或写、记录、描述)的人(或专家)”  ,biographer(n. 传记作者)
graphy,"后缀:'写法','书法','画法','记录法','图示法'  ",orthography(n. 正确拼字；正字法；正字学)
grat,greet的过去式【词根】使高兴,grateful(a.感激的；令人愉快的)
grav,【词根】重的,gravity(n.重力，引力；严重性)
gravat,词根：重，加重,aggravate(vt. 加重；使恶化；激怒)
graz,词根：生长，变绿,graze(vt. 放牧；擦伤)
gred,词根：走，步，行,ingredient(n.配料，成分)
gree,"词根：表示“感激，高兴”""",disagree(v.  不一致; 不适宜)
greg,【词根】聚焦；群,"gregarious（adj.  社交的, 群居的(greg+arious爱…的=爱群体的)）"
gress,【词根】走,"progress（n.  进步, 前进, 发展（(pro+gress走=向前走)））"
gret,"词根：叫喊,哭",regret(n. 遗憾；抱歉；悲叹)
griev,"词根：表示“重""",gravity(n.  地心引力; 重力)
groc,词根：厚，大，粗,grocer(n. 杂货店；食品商)
grop,词根：抓,grope(vi. 摸索；探索)
gross,/ grEus/adj. 总共的；粗野的；恶劣的【词根】大,engross（vt. 使全神贯注；用大字体书写）
gru,"词根：聚集， 联合, 合并","congruous（adj.  一致的, 符合的, 适合的）"
guar,词根：注意，保护,guard(n. 守卫；警戒；护卫队；防护装置)
gubern,词根：管理,gubernatorial(adj. 州长的；统治者的；地方长官的；总督的)
guer,词根：战争，搞乱，混,guerrilla(n. 游击战；游击队)
gurg,【词根】喉咙,regurgitate（v.  涌回; 反胃; 流回; 反刍）
gymn,词根：裸露,gymnast(n. 体操运动员)
gyn,【词根】妇女,monogyny（n.  一妻制(mono一个+gyny=一个女人=一妻制)）
gynaeco,"词根：woman,female妇女,雌",gynaecoid(adj.女性的，似女性的，具女性特点的)
gynec,"词根：表示“妇女”""",gynecology(n.  妇科医学)
gyr,【词根】转,gyroscope（n.  陀螺仪; 回转仪）
gyro,"n. 陀螺仪, 回转仪, 陀螺【词根】whirl,ring旋转,环",gyroidal(adj. 螺旋形的)
hab,【词根】给，接受，有,"habit(n.  习惯, 习性, 嗜好)"
habit,/ 5hAbit/  n. 习惯；习性【词根】居住；有,inhabitant(n.居民，住户)
haem,n. 血红素【词根】血液,haematology（n. 血液病学；血液学（等于hematology））
haemat,词根：血,haematic(adj. 血的，血液的)
hagi,"词根：holy,saint神圣,圣徒",hagiarchy(n. 圣人政治；圣人之间的尊卑次序组织)
hal,【词根】呼吸,exhale（v.  呼气; 蒸发; 散发(ex+hale气=出气=呼气)）
hale,v.  强拉; 硬拖【词根】呼吸,exhale（v.  呼气; 蒸发; 散发(ex+hale气=出气=呼气)）
halit,词根：呼吸,halitosis(n.口臭)
hap,"/ hAp /n.偶然, 机会, 运气;【词根】运气",happy(a.快乐的；幸福的)
har,词根：战争，军队；硬,"harbor（n.  港湾, 海港; 避难所）"
hara,词根：磨，擦，刮，涂,harass(vt. 使困扰；使烦恼；反复袭击)
harm,/ ha:m/vt. 伤害；危害；损害【词根】适合,harmony（n. 协调；和睦；融洽；调和）
harmon,"词根：concord,harmony和谐,和声",harmonic(adj. 和声的；谐和的；音乐般的)
harv,词根：采，摘，收获,harvest(n. 收获；产量；结果)
hast,v.  第二人称单数现在式【词根】抽水,exhaust(vt. 排出；耗尽；使筋疲力尽)
haught,词根：high  (高）,haughty（adj. 傲慢的；自大的）
haust,【词根】拖，拉,exhaust（v.  用尽; 抽完; 耗尽(ex出+haust=抽干=抽出)）
haut,词根：高,hauteur(n. 傲慢；自大)
hav,词根：抓，取，拥有,"behave（v. ?举止, 表现, 行为）"
haws,词根：粗绳，拖，拉,hawse（n. 锚链孔；艏锚水平距离）
heal,v.  治愈【词根】完整，无损伤，健康,healthy(adj. 健康的，健全的)
heav,词根：抓，取,heavy(adj. 沉重的；繁重的，巨大的；阴沉的)
hec,词根：保持，抓，暂停,"hectic(adj.  脸上发红的, 消耗热的, 发热的)"
hecto,【电】 格克脱【前缀】百,hectogram(n.  一百公克((hecto+gram克)))
hedon,词根：愉快,hedonistic(adj. 快乐主义者的；快乐论的；快乐主义的)
hedr,词根：侧面,polyhedron(n. 多面体)
hedron,词根：...面体,trihedron(n. [数] 三面体)
hein,词根：odious  (可恨的）,heinous（adj. 可憎的；极凶恶的）
hel,词根：太阳，日,heliotropism(n.  向日性; 趋日性)
heli,前缀：太阳；直升机  ,helianthus(n. 向日葵；向日葵属植物)
helic,【词根】螺旋,helical(adj.  螺旋状的)
helio,【词根】太阳,heliotropism(n.  向日性; 趋日性(helio+trop转+ism=转向太阳))
hem,"/ hem/ n. 边缘, 折边, 哼声【词根】血",hemoglobin(n.  血红素)
hema,词根：血,hemorrhage(n.  出血)
hemat,词根：血,hematal(adj.血液的，胸前的)
hemato,词根：血,hematochezia(n. 便血)
hemer,词根：day  (一天）,ephemeral（adj. 短暂的；朝生暮死的）
hemi,【前缀】半,hemisphere(n.半球；半球地图)
hemo,词根：血,hemorrhage(n.  出血)
